ci,stressRatio,dispRatio,violated,maxHM_MPa,tipUz_m,beta1,beta2,beta3,beta4,beta5,beta6,beta7
1,1.91525232782252,0,1,7.27633587230339,-0.300363282071961,0,0,0,180,180,180,180
2,1.887775658103,0,1,7.17194781093558,-0.284964026831627,0,0,0,180,180,180,270
3,1.88777563318194,0,1,7.17194771625668,-0.285977081232273,0,0,0,180,180,180,90
4,1.85733358787134,0,1,7.05629374048441,-0.268106562489814,0,0,0,180,180,180,0
5,1.83303093497534,0,1,6.963964253403,-0.281298708129176,0,0,0,180,180,270,180
6,1.43978721857782,0,1,5.46997136347693,-0.239203967040087,0,270,0,270,180,180,180
7,1.43978719259284,0,1,5.46997126475604,-0.239409042244658,0,90,0,90,180,180,180
8,1.4004469745235,0,1,5.32051177275917,-0.215210087073862,0,270,0,270,180,180,270
9,1.39127224129387,0,1,5.2856555611009,-0.217682472255215,0,270,0,270,180,270,270
10,1.37128143580763,0,1,5.20970744034274,-0.202230382325909,0,270,0,270,180,180,0
11,1.36875803175842,0,1,5.20012064327335,-0.232741562364402,0,270,0,270,180,0,180
12,1.36875801095879,0,1,5.20012056425237,-0.232782894822021,0,90,0,90,180,0,180
13,1.3503987021226,0,1,5.13037074824388,-0.216385215758192,0,270,0,180,180,180,180
14,1.3503986668716,0,1,5.13037061431994,-0.216101728556633,0,90,0,180,180,180,180
15,1.29145893434795,0,1,4.90644957590859,-0.210213217091192,0,270,0,270,90,180,180
16,1.29145891815083,0,1,4.90644951437324,-0.209565432200545,0,90,0,90,270,180,180
17,1.29047227988005,0,1,4.90270112501566,-0.239470924566209,0,270,0,90,180,180,180
18,1.25452277046731,0,1,4.76612345264757,-0.179615470972995,0,270,0,270,270,180,0
19,1.1108223915244,0,1,4.22018378351026,-0.152839388272249,0,180,270,0,180,180,0
20,1.07494157714546,0,1,4.08386709405882,-0.204521077539984,0,0,90,0,180,180,180
21,1.02098561970949,0,1,3.87888017775929,-0.119459259884055,0,90,0,90,90,270,180
22,0.998012108817397,0,0,3.7916003039857,-0.154554992507549,0,270,180,270,0,180,270
23,0.996159121477085,0,0,3.78456052230296,-0.181786023816167,0,0,270,270,180,270,180
24,0.983189317319133,0,0,3.73528625703758,-0.171454433366284,0,0,270,270,180,270,90
25,0.970427485880009,0,0,3.68680211186891,-0.131304725210166,0,180,90,90,270,270,180
26,0.964854940318271,0,0,3.66563116087625,-0.15697741199842,0,0,90,90,180,90,90
27,0.9575370167531,0,0,3.63782925249346,-0.123042982332183,0,180,90,90,270,270,90
28,0.954883201128713,0,0,3.62774700194836,-0.159192845939928,0,90,270,180,180,180,270
29,0.893680088567451,0,0,3.39522703736884,-0.140434838641476,0,0,270,270,90,90,270
30,0.84531184236839,0,0,3.21146868877633,-0.153807773727936,0,90,90,270,90,90,180
31,0.794072256416448,0,0,3.01680168227908,-0.0862114014738699,0,270,180,270,180,180,180
32,0.71752514693527,0,0,2.72598753181554,-0.0949764922758474,0,180,180,270,0,90,270
33,0.624229615651467,0,0,2.37154357101496,-0.084465811011277,0,180,90,180,180,270,90
34,0.619084153685129,0,0,2.35199517577672,-0.0596256756748935,0,180,180,270,270,180,270
35,1.01622229060694,0,1,3.86078356358632,-0.831265855977228,0,0,0,180,180,180,180
36,1.00248072800654,0,1,3.80857727022313,-0.787860859028324,0,0,0,180,180,180,270
37,1.00049940599551,0,1,3.80104992554172,-0.788540467184471,0,0,0,180,180,180,90
38,0.985121720638425,0,0,3.74262775214382,-0.736751627340243,0,0,0,180,180,180,0
39,0.982096575562954,0,0,3.73113476434696,-0.772487985454323,0,0,0,180,180,90,180
40,0.919077293919287,0,0,3.49171489626517,-0.657167060817549,0,0,0,180,270,270,90
41,0.901075659332844,0,0,3.42332393931469,-0.655893800393212,0,90,0,270,180,270,180
42,0.879057627041524,0,0,3.33967407455717,-0.683725392550291,0,270,0,180,180,90,180
43,0.87041214011369,0,0,3.30682855036557,-0.673048587626403,0,90,0,90,180,180,180
44,0.848061813540274,0,0,3.22191624892028,-0.676844971598333,0,270,0,90,180,90,180
45,0.844303893744007,0,0,3.20763933813334,-0.641398028901515,0,0,90,0,180,180,180
46,0.840547665780423,0,0,3.19336885487693,-0.613846341814566,0,0,90,270,180,90,270
47,0.835054181868063,0,0,3.17249827115554,-0.656055184513683,0,270,0,180,180,270,180
48,0.829004707747827,0,0,3.149515395787,-0.584691485808715,0,270,0,180,180,180,90
49,0.820813904231522,0,0,3.11839728326318,-0.495265948823489,0,0,270,180,90,180,270
50,0.819963942473254,0,0,3.1151681488343,-0.555990834552082,0,0,270,180,180,270,180
51,0.807105370666143,0,0,3.06631647224448,-0.489399405983749,0,0,90,180,270,180,270
52,0.801629055181084,0,0,3.04551111399841,-0.60981020458076,0,90,0,90,270,180,180
53,0.793174066228704,0,0,3.01338932068667,-0.574457922106334,0,90,90,270,270,180,180
54,0.769390774887449,0,0,2.92303296740942,-0.541260919593386,0,90,270,180,270,180,90
55,0.764791830061945,0,0,2.90556087419098,-0.481219652258815,0,180,90,0,180,180,180
56,0.740726589174484,0,0,2.8141333515605,-0.605932512076221,0,270,0,270,90,180,180
57,0.72195443946117,0,0,2.74281509005784,-0.554259859255081,0,90,270,180,180,180,180
58,0.717902449406601,0,0,2.72742096148273,-0.426054818423634,0,0,90,90,90,90,270
59,0.712895836967384,0,0,2.70840007678728,-0.463188253128519,0,0,180,270,270,90,90
