phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,middleRingWeight,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,1,1,0.2,0,759830.521190488,0.00192636508881228
6.91830973189312e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,2,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,17.8630182475995,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,3,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.892301736055511,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,4,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.807461443657764,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,5,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45.249991667,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,6,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.807461443657764,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,7,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45.249991667,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,8,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.346067546647595,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,9,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.346067546647595,4e-09,12.00000068,0.75,3,1.5e-08,0.04,10,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,2.76732389275725e-09,12.00000068,0.75,3,1.5e-08,0.04,11,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.0000004704451,0.75,3,1.5e-08,0.04,12,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75749975001,3,1.5e-08,0.04,13,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,2.95023949232776,1.5e-08,0.04,14,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.03774645978397e-08,0.04,15,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.0388365288577386,16,1,0.2,0,759830.521190488,0.00192636508881228
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,17,0.98,0.201622859633229,0,765996.012595164,0.00206713444974652
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,18,0.052899999999995,8.84240413164381,0,33593642.6996192,710.330058150452
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,19,0.335,2.08984385341788,0,7939635.72174623,0.0708441121176994
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,20,0.5345,1.0738766733615,0,4079821.36207287,0.0168148688452189
6.91830973189312e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,21,0.5345,1.0738766637855,0,4079821.32569219,0.0168148688332576
9.99999999999999e-09,17.8630182475995,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,22,0.5345,1.04130962553534,0,3956094.17745594,0.016818515300531
9.99999999999999e-09,18,0.892301736055511,0.8,45,0.8,45,0.35,0.35,4e-09,12.00000068,0.75,3,1.5e-08,0.04,23,0.534500000000001,1.08936754950069,0,4138673.56452558,0.0168295819155111
