ci,stressRatio,dispRatio,violated,maxHM_MPa,tipUz_m,beta1,beta2,beta3,beta4,beta5,beta6,beta7
1,1.01622229060694,0,1,3.86078356358632,-0.831265855977228,0,0,0,180,180,180,180
2,1.00248072800654,0,1,3.80857727022313,-0.787860859028324,0,0,0,180,180,180,270
3,1.00049940599551,0,1,3.80104992554172,-0.788540467184471,0,0,0,180,180,180,90
4,0.985121720638425,0,0,3.74262775214382,-0.736751627340243,0,0,0,180,180,180,0
5,0.971746593042125,0,0,3.69181360128139,-0.770506202040756,0,0,0,180,180,270,180
6,0.816425316165984,0,0,3.10172436747754,-0.684703379941062,0,270,0,270,180,180,180
7,0.87041214011369,0,0,3.30682855036557,-0.673048587626403,0,90,0,90,180,180,180
8,0.792111725453608,0,0,3.00935332596256,-0.615825893407966,0,270,0,270,180,180,270
9,0.786790977126804,0,0,2.98913899109116,-0.621574408647089,0,270,0,270,180,270,270
10,0.77390797427848,0,0,2.94019449724746,-0.582542429340284,0,270,0,270,180,180,0
11,0.796091089348768,0,0,3.02447153667489,-0.658224987612332,0,270,0,270,180,0,180
12,0.885107168796828,0,0,3.36265720688165,-0.646694596152239,0,90,0,90,180,0,180
13,0.862833514125054,0,0,3.2780361936913,-0.666296297256165,0,270,0,180,180,180,180
14,0.902236369719123,0,0,3.42773365520347,-0.663326321120376,0,90,0,180,180,180,180
15,0.740726589174484,0,0,2.8141333515605,-0.605932512076221,0,270,0,270,90,180,180
16,0.801629055181084,0,0,3.04551111399841,-0.60981020458076,0,90,0,90,270,180,180
17,0.883950576666724,0,0,3.35826313687655,-0.717702637171042,0,270,0,90,180,180,180
18,0.70615490096729,0,0,2.68279023221597,-0.519678864069738,0,270,0,270,270,180,0
19,0.697272798888149,0,0,2.64904577095566,-0.479494862284842,0,180,270,0,180,180,0
20,0.844303893744007,0,0,3.20763933813334,-0.641398028901515,0,0,90,0,180,180,180
21,0.591077937707991,0,0,2.24559528736431,-0.336910108765804,0,90,0,90,90,270,180
22,0.66775687851669,0,0,2.53691028515935,-0.477516368511788,0,270,180,270,0,180,270
23,0.704720125731607,0,0,2.67733930214036,-0.556855599325131,0,0,270,270,180,270,180
24,0.687754482377873,0,0,2.61288423398137,-0.527212818049808,0,0,270,270,180,270,90
25,0.599292762559959,0,0,2.2768046606081,-0.406120245958736,0,180,90,90,270,270,180
26,0.763196959558495,0,0,2.89950171776163,-0.48872580298849,0,0,90,90,180,90,90
27,0.607198343079798,0,0,2.30683916744162,-0.378022556375953,0,180,90,90,270,270,90
28,0.715727093046906,0,0,2.71915645069992,-0.52821897994634,0,90,270,180,180,180,270
29,0.562136806830231,0,0,2.13564351457085,-0.431265731440293,0,0,270,270,90,90,270
30,0.582161471356197,0,0,2.211720270988,-0.490935018922781,0,90,90,270,90,90,180
31,0.570679102346305,0,0,2.16809699884156,-0.28624320936051,0,270,180,270,180,180,180
32,0.505663009990189,0,0,1.92109094213798,-0.308667335752931,0,180,180,270,0,90,270
33,0.521324809074524,0,0,1.98059250694313,-0.299337717566861,0,180,90,180,180,270,90
34,0.376587630850365,0,0,1.43071387911462,-0.196368262865606,0,180,180,270,270,180,270
35,1.01622229060694,0,1,3.86078356358632,-0.831265855977228,0,0,0,180,180,180,180
36,1.00248072800654,0,1,3.80857727022313,-0.787860859028324,0,0,0,180,180,180,270
37,1.00049940599551,0,1,3.80104992554172,-0.788540467184471,0,0,0,180,180,180,90
38,0.985121720638425,0,0,3.74262775214382,-0.736751627340243,0,0,0,180,180,180,0
39,0.982096575562954,0,0,3.73113476434696,-0.772487985454323,0,0,0,180,180,90,180
40,0.919077293919287,0,0,3.49171489626517,-0.657167060817549,0,0,0,180,270,270,90
41,0.901075659332844,0,0,3.42332393931469,-0.655893800393212,0,90,0,270,180,270,180
42,0.879057627041524,0,0,3.33967407455717,-0.683725392550291,0,270,0,180,180,90,180
43,0.87041214011369,0,0,3.30682855036557,-0.673048587626403,0,90,0,90,180,180,180
44,0.848061813540274,0,0,3.22191624892028,-0.676844971598333,0,270,0,90,180,90,180
45,0.844303893744007,0,0,3.20763933813334,-0.641398028901515,0,0,90,0,180,180,180
46,0.840547665780423,0,0,3.19336885487693,-0.613846341814566,0,0,90,270,180,90,270
47,0.835054181868063,0,0,3.17249827115554,-0.656055184513683,0,270,0,180,180,270,180
48,0.829004707747827,0,0,3.149515395787,-0.584691485808715,0,270,0,180,180,180,90
49,0.820813904231522,0,0,3.11839728326318,-0.495265948823489,0,0,270,180,90,180,270
50,0.819963942473254,0,0,3.1151681488343,-0.555990834552082,0,0,270,180,180,270,180
51,0.807105370666143,0,0,3.06631647224448,-0.489399405983749,0,0,90,180,270,180,270
52,0.801629055181084,0,0,3.04551111399841,-0.60981020458076,0,90,0,90,270,180,180
53,0.793174066228704,0,0,3.01338932068667,-0.574457922106334,0,90,90,270,270,180,180
54,0.769390774887449,0,0,2.92303296740942,-0.541260919593386,0,90,270,180,270,180,90
55,0.764791830061945,0,0,2.90556087419098,-0.481219652258815,0,180,90,0,180,180,180
56,0.740726589174484,0,0,2.8141333515605,-0.605932512076221,0,270,0,270,90,180,180
57,0.72195443946117,0,0,2.74281509005784,-0.554259859255081,0,90,270,180,180,180,180
58,0.717902449406601,0,0,2.72742096148273,-0.426054818423634,0,0,90,90,90,90,270
59,0.712895836967384,0,0,2.70840007678728,-0.463188253128519,0,0,180,270,270,90,90
60,0.70617551915166,0,0,2.68286856384485,-0.538021198445864,0,90,270,90,180,270,90
61,0.692606873436449,0,0,2.63131920811666,-0.627094331830872,0,0,270,0,180,180,180
62,0.690458098514717,0,0,2.62315568427315,-0.466905160148622,0,90,270,180,180,180,90
63,0.595452217816845,0,0,2.26221384503903,-0.345086687530824,0,270,180,270,180,180,0
64,0.589488316680335,0,0,2.23955607449461,-0.492209920109784,0,90,90,0,270,270,180
65,0.554577398947461,0,0,2.10692417041357,-0.357181278887268,0,180,270,270,90,0,90
66,0.552901910266807,0,0,2.10055873322622,-0.354976165015708,0,180,270,270,90,90,90
67,0.547466122020591,0,0,2.0799073441452,-0.349186770531962,0,90,180,90,180,180,0
68,0.383076216932691,0,0,1.45536500783823,-0.187676825270688,0,180,270,180,180,270,90
