iteration,volumeFraction,change,iterationTimeSec,S_min_bending_c01,gStress_min_bending_c01,maxStress_min_bending_c01,S_min_bending_c02,gStress_min_bending_c02,maxStress_min_bending_c02,S_min_bending_c03,gStress_min_bending_c03,maxStress_min_bending_c03,S_min_torsion_c01,gStress_min_torsion_c01,maxStress_min_torsion_c01,S_min_torsion_c02,gStress_min_torsion_c02,maxStress_min_torsion_c02,S_min_torsion_c03,gStress_min_torsion_c03,maxStress_min_torsion_c03,S_min_shear_c01,gStress_min_shear_c01,maxStress_min_shear_c01,S_min_shear_c02,gStress_min_shear_c02,maxStress_min_shear_c02,S_min_shear_c03,gStress_min_shear_c03,maxStress_min_shear_c03,S_max_bending_c01,gStress_max_bending_c01,maxStress_max_bending_c01,S_max_bending_c02,gStress_max_bending_c02,maxStress_max_bending_c02,S_max_bending_c03,gStress_max_bending_c03,maxStress_max_bending_c03,S_max_torsion_c01,gStress_max_torsion_c01,maxStress_max_torsion_c01,S_max_torsion_c02,gStress_max_torsion_c02,maxStress_max_torsion_c02,S_max_torsion_c03,gStress_max_torsion_c03,maxStress_max_torsion_c03,S_max_shear_c01,gStress_max_shear_c01,maxStress_max_shear_c01,S_max_shear_c02,gStress_max_shear_c02,maxStress_max_shear_c02,S_max_shear_c03,gStress_max_shear_c03,maxStress_max_shear_c03
0,1,0,0,633328.941580006,-0.5,877939.930555397,248045.748913914,-0.804173050820086,292542.965220377,88009.8114889349,-0.930518088065444,106993.290000118,484205.402312089,-0.5,683445.559047861,233530.45549008,-0.758851869088027,267221.943574752,99820.9249841459,-0.896922954073313,119772.202757185,155533.853905593,-0.5,215956.954123636,26455.2535367345,-0.914953391585113,31198.9776350672,11576.2705940267,-0.962785366968874,11792.6065083888,633328.941659911,-0.5,877939.930665555,248045.748943657,-0.804173050821311,292542.965253629,88009.8114964796,-0.930518088068254,106993.290015062,484205.402279241,-0.5,683445.559000253,233530.455476283,-0.758851869085916,267221.943557485,99820.9249792958,-0.896922954071329,119772.202750198,155533.853898448,-0.5,215956.954113141,26455.2535355767,-0.914953391584928,31198.977633254,11576.2705941616,-0.962785366966731,11792.6065084704
1,0.996412883095282,0.025,24.38115075,633995.621258351,-0.499473670288396,881653.233976818,247539.131509692,-0.80457301470217,292735.307974867,87843.4222896612,-0.930649448870509,106972.633641441,483837.888837662,-0.500379501625417,684990.808331716,233046.828214084,-0.759351272103448,267149.632958385,99612.3413909134,-0.897138341584725,119727.338887549,155433.341105066,-0.500323121937775,215759.807176194,26406.1472880854,-0.915111255122266,31203.2525369451,11554.0853073376,-0.962856686768815,11794.1240812747,633995.621259487,-0.499473670350649,881653.233979812,247539.131509627,-0.804573014726878,292735.307976071,87843.4222895975,-0.930649448879309,106972.633639187,483837.888831207,-0.50037950159819,684990.80832075,233046.828214661,-0.759351272086528,267149.632959809,99612.3413922953,-0.89713834157632,119727.33889032,155433.341093688,-0.5003231219514,215759.807159199,26406.1472862314,-0.915111255124326,31203.2525330501,11554.0853075711,-0.962856686766358,11794.1240810319
2,0.992185584309866,0.0245000000000001,23.98686725,634961.66382594,-0.498710999814835,886056.995190334,246920.567288137,-0.805061358263426,292409.593758517,87647.0214337321,-0.930804503253023,106965.779095171,483466.827756006,-0.500762666579674,686798.969533103,232478.143791516,-0.759938506797499,267139.735216965,99365.2549726904,-0.897393487868764,119729.652910071,155338.24184739,-0.500628840774183,215545.454511431,26347.5932502327,-0.915299490790522,31216.1252690554,11527.1411191089,-0.962943305172308,11797.2175560262,634961.663821544,-0.498710999881552,886056.995186609,246920.567286761,-0.805061358289107,292409.593758615,87647.0214337793,-0.930804503261715,106965.779093729,483466.827761087,-0.500762666540561,686798.969543113,232478.143788782,-0.759938506784036,267139.735218002,99365.2549711697,-0.897393487863374,119729.652903,155338.241827139,-0.500628840816343,215545.454481294,26347.593246817,-0.915299490797611,31216.1252634449,11527.1411195162,-0.962943305169296,11797.2175539079
3,0.987229904145925,0.02401,23.758400375,636337.096708377,-0.497625124219915,891266.80106426,246184.447097208,-0.805642509812487,292294.191487678,87416.6415093004,-0.930986383401952,106995.068208715,483116.852514738,-0.501124057881379,688910.502963743,231809.306340754,-0.760629161473767,267112.517163191,99071.6979245151,-0.897696620637186,119758.668839011,155258.910113634,-0.500883871212135,215313.489586622,26278.0639746579,-0.915523008930878,31240.3246894828,11495.2988952642,-0.963045669458427,11798.704951859,636337.096763638,-0.49762512423967,891266.801141371,246184.44711668,-0.805642509821636,292294.191513289,87416.6415125173,-0.930986383408119,106995.068210697,483116.85252426,-0.501124057837704,688910.502978593,231809.306343179,-0.760629161455023,267112.517169122,99071.6979256037,-0.897696620629122,119758.66884099,155258.910120935,-0.500883871165737,215313.489597632,26278.0639758118,-0.915523008923288,31240.3246905105,11495.2988951944,-0.963045669456953,11798.7049521231
4,0.981451709806272,0.0235298,24.0124467083333,638267.366652492,-0.496101216328307,897415.991908811,245320.870891851,-0.806324285228594,292373.535139187,87149.4114748083,-0.931197355944771,106977.558887059,482825.826974157,-0.501424576565383,691371.693843498,231023.473951429,-0.761440627419389,266998.402675983,98723.2859553574,-0.898056397673433,119743.801824635,155211.005807699,-0.501037870822935,215063.615820147,26196.8894126445,-0.915783963571861,31253.3873587753,11457.8434808401,-0.963166078660293,11799.7437018833,638267.366622314,-0.496101216415707,897415.991863968,245320.870880626,-0.806324285261892,292373.535127576,87149.4114716765,-0.931197355955924,106977.55888489,482825.827003271,-0.501424576501497,691371.693889495,231023.473958344,-0.761440627396065,266998.402690558,98723.2859583387,-0.898056397663439,119743.801828488,155211.005813287,-0.501037870782049,215063.615828383,26196.8894136149,-0.915783963564873,31253.3873601912,11457.8434807285,-0.96316607865896,11799.7437023404
5,0.974752166121553,0.0230592039999999,23.3930285416667,640941.726783105,-0.493989864742241,904658.340805333,244313.198490919,-0.807119821587961,292218.01721117,86842.913693137,-0.931439329555598,106958.17178192,482649.742098726,-0.501606405263071,694235.527178903,230102.999834651,-0.762391127054855,266929.874026032,98319.1858932898,-0.898473679327188,119729.174276318,155217.560028343,-0.501016800745651,214795.637369064,26099.6995353423,-0.916096403194689,31278.2485857107,11413.9816211193,-0.96330708288098,11801.8703885989,640941.726840551,-0.49398986476073,904658.340886594,244313.198511953,-0.80711982159569,292218.017237601,86842.9136990484,-0.931439329559582,106958.171788201,482649.742072425,-0.501606405256419,694235.527140874,230102.999822761,-0.762391127051015,266929.874010561,98319.1858894236,-0.898473679324293,119729.174268592,155217.560020528,-0.501016800747852,214795.637357513,26099.6995340604,-0.916096403194955,31278.2485843344,11413.9816212925,-0.963307082878738,11801.8703890074
6,0.967029480426344,0.02259801992,22.9070032083333,644601.420902769,-0.491100612507427,913171.166556236,243144.444475214,-0.808042528525045,291845.821398232,86490.3640169083,-0.931717660177399,106928.765743082,482668.771538412,-0.501586755090236,697562.718837553,229045.23144566,-0.763483399449938,266893.532162014,97851.000564121,-0.898957136685298,119630.400982211,155311.610611751,-0.500714453118282,214509.438293102,25985.3075319659,-0.916464143080584,31286.1613056717,11362.6352387843,-0.963472147852514,11805.4348894533,644601.420815511,-0.491100612640522,913171.166429543,243144.444444726,-0.808042528573334,291845.821366838,86490.3640094556,-0.931717660191898,106928.765734263,482668.771494448,-0.501586755101822,697562.718773308,229045.231425789,-0.763483399454413,266893.532138929,97851.0005576115,-0.898957136685166,119630.400972311,155311.610606526,-0.500714453112143,214509.438285542,25985.3075310563,-0.916464143079671,31286.1613032401,11362.6352388124,-0.963472147850746,11805.4348891666
7,0.958181215062574,0.0221460595216,23.667199375,649546.22282773,-0.487196794443607,923158.945180169,241743.451278933,-0.809148583455037,291675.53030876,86087.5654653515,-0.932035661239021,106939.244953849,482994.316856204,-0.501250590606901,701422.933883564,227835.742508732,-0.764732341460036,266828.178104907,97316.6679257561,-0.899508899052894,119509.154271248,155539.379104641,-0.49998223795364,215602.677129309,25853.0794112912,-0.916889221342822,31276.9787939169,11302.9555210978,-0.963664002282234,11808.9530969385,649546.222886084,-0.487196794462236,923158.945261605,241743.451300964,-0.809148583461722,291675.530334117,86087.5654725749,-0.932035661241893,106939.244962751,482994.316841459,-0.501250590588293,701422.933860752,227835.742503825,-0.764732341449144,266828.178099024,97316.667923373,-0.899508899048538,119509.154268277,155539.379105083,-0.499982237929247,215602.677130326,25853.0794113458,-0.916889221338829,31276.9787948726,11302.9555210686,-0.963664002280659,11808.9530969356
8,0.948107195025413,0.021703138331168,23.6120284583333,656137.799147162,-0.481992882316216,934857.493441702,240136.032962425,-0.810417606715286,291239.3643765,85631.8573832092,-0.932395433272339,106891.111056299,483776.47894319,-0.500442914687497,705896.222485323,226438.347069093,-0.766175319412128,266851.984365878,96712.3027836775,-0.900132978358074,119426.061444347,155963.779290051,-0.498617904161502,217725.627059161,25701.8084648388,-0.917375517228425,31288.4473802952,11233.9885399444,-0.963885712795482,11813.9753852963,656137.799190545,-0.481992882347321,934857.493502702,240136.032975831,-0.810417606728621,291239.364395213,85631.8573857101,-0.932395433278894,106891.111057233,483776.478935497,-0.500442914661552,705896.222474945,226438.347063749,-0.766175319401784,266851.984360015,96712.302782035,-0.900132978352995,119426.061441763,155963.779283713,-0.498617904158841,217725.627050745,25701.8084637449,-0.917375517228146,31288.4473779215,11233.9885400068,-0.963885712793622,11813.9753856785
9,0.936712999087641,0.0212690755645446,23.15043225,664799.248932159,-0.475154848226546,950972.081787795,238322.074987603,-0.811849688731226,290793.682084342,85121.0647711873,-0.932798693393965,107054.951635187,485210.901019178,-0.498961702304137,711074.701977973,224863.438790792,-0.767801600604758,266884.742739895,96025.5755787284,-0.900842106345567,119358.813820585,156667.784192802,-0.49635471552098,220210.645190959,25529.7429928971,-0.91792866198637,31315.7192872167,11154.3404102283,-0.964141760362349,11817.3188618266,664799.248937884,-0.475154848288244,950972.081796661,238322.074990198,-0.811849688752915,290793.682089089,85121.0647731632,-0.932798693400884,107054.951638455,485210.900982343,-0.498961702308184,711074.70192216,224863.438774842,-0.767801600605477,266884.742721193,96025.5755752073,-0.900842106342476,119358.813818427,156667.78418898,-0.496354715510128,220210.645185523,25529.7429922763,-0.917928661984595,31315.719285813,11154.3404102677,-0.964141760360575,11817.3188613672
