locationIndex,elemStart,elemEnd,meanDensity,stdDensity,rhoGt05,rhoGt07
1,1,2200,0.463551707385648,0.285199886343701,0.325,0.233636363636364
2,2201,4400,0.463551707385648,0.285199886343701,0.325,0.233636363636364
3,4401,6600,0.463551707385648,0.285199886343701,0.325,0.233636363636364
4,6601,8800,0.463551707385648,0.285199886343701,0.325,0.233636363636364
5,8801,11000,0.463551707385648,0.285199886343701,0.325,0.233636363636364
6,11001,13200,0.463551707385648,0.285199886343701,0.325,0.233636363636364
7,13201,15400,0.463551707385648,0.285199886343701,0.325,0.233636363636364
8,15401,17600,0.463551707385648,0.285199886343701,0.325,0.233636363636364
9,17601,19800,0.463551707385648,0.285199886343701,0.325,0.233636363636364
10,19801,22000,0.463551707385648,0.285199886343701,0.325,0.233636363636364
11,22001,24200,0.463551707385648,0.285199886343701,0.325,0.233636363636364
12,24201,26400,0.463551707385648,0.285199886343701,0.325,0.233636363636364
