locationIndex,elemStart,elemEnd,meanDensity,stdDensity,rhoGt05,rhoGt07
1,1,8140,0.630445487231003,0.13802789796579,0.906142506142506,0.0540540540540541
2,8141,16280,0.53106086035298,0.148441714835981,0.594103194103194,0.027027027027027
3,16281,24420,0.512008559456505,0.146829015019088,0.501228501228501,0.027027027027027
4,24421,32560,0.517691277101753,0.148813365075336,0.583783783783784,0.027027027027027
5,32561,40700,0.496005061336372,0.148596305299369,0.44963144963145,0.027027027027027
6,40701,48840,0.422898459212674,0.214737185822533,0.400737100737101,0.027027027027027
7,48841,56980,0.352598858271189,0.210049546327919,0.284275184275184,0.027027027027027
8,56981,65120,0.31996443626339,0.186685252818066,0.188452088452088,0.027027027027027
9,65121,73260,0.278613744015592,0.154510955220001,0.0488943488943489,0.027027027027027
10,73261,81400,0.259039881586147,0.142000762079705,0.027027027027027,0.027027027027027
11,81401,89540,0.243779089132011,0.132046625639988,0.027027027027027,0.027027027027027
12,89541,97680,0.235894286040364,0.129379307444923,0.027027027027027,0.027027027027027
