iteration,volumeFraction,nErased,iterationTimeSec,maxStress_min_bending,maxDisplacement_min_bending,maxStress_min_torsion,maxDisplacement_min_torsion,maxStress_min_shear,maxDisplacement_min_shear,maxStress_max_bending,maxDisplacement_max_bending,maxStress_max_torsion,maxDisplacement_max_torsion,maxStress_max_shear,maxDisplacement_max_shear
1,0.953297297297297,384,51.2103499583333,2848265.51360709,0.0167187897736012,2592272.34062524,0.0135353558922976,511431.315582246,0.00119136373394059,2848265.51356904,0.0167187897733621,2592272.34045812,0.0135353558912453,511431.315584148,0.00119136373395128
2,0.953054054054054,386,52.3079219583333,3708183.99752516,0.0190872175717382,2738970.08757678,0.0149716484854949,725831.21025339,0.00138036676174183,3708183.99758231,0.0190872175719307,2738970.08751203,0.0149716484850185,725831.210252253,0.00138036676178747
3,0.952810810810811,388,51.9435578333333,3708569.98246628,0.0190907740208703,2739052.45279266,0.0149734212335016,725831.150244997,0.00138083765500226,3708569.98224522,0.0190907740197832,2739052.45288205,0.0149734212338812,725831.150244051,0.00138083765503259
4,0.951351351351351,400,53.3772965833333,3708816.49992515,0.0190951798307288,2739184.83640661,0.0149756734414446,725829.724871301,0.00138140474312686,3708816.50002115,0.0190951798311462,2739184.83650385,0.0149756734417849,725829.724874154,0.00138140474318555
5,0.950621621621621,406,54.035290625,3743244.26040748,0.0191406297954859,2740157.70280673,0.0150015667494872,732435.40233567,0.00138876729319159,3743244.26050717,0.0191406297959814,2740157.70289789,0.0150015667499339,732435.402325607,0.00138876729312625
6,0.949648648648648,414,52.4149162083333,3756633.49353656,0.0191575415507017,2740617.53646531,0.0150123904004974,735740.49221675,0.00139157463260426,3756633.49287849,0.0191575415474606,2740617.53663758,0.015012390401403,735740.492217319,0.00139157463262604
7,0.948189189189189,426,50.9021838333333,3766668.21702988,0.0191792145240851,2743871.53529177,0.0150276494933601,736655.979138024,0.00139348078887137,3766668.2170726,0.0191792145244368,2743871.53529961,0.0150276494932193,736655.979153952,0.00139348078896662
8,0.947702702702702,430,52.812118,3725206.60846877,0.0192360644559944,2744791.70387455,0.0150582185813494,728835.692918841,0.00140141074325166,3725206.60825368,0.0192360644549179,2744791.70391624,0.0150582185820501,728835.692919902,0.00140141074328043
9,0.947216216216216,434,50.9447412916667,3722390.45687706,0.019245260927324,2750509.43117028,0.015066456785819,727579.026028794,0.00140289613378339,3722390.45671004,0.019245260926365,2750509.43135442,0.0150664567865396,727579.026030522,0.0014028961337864
10,0.94527027027027,450,50.169545125,3725666.4201453,0.0192591620034499,2753500.62187794,0.0150750592483242,727734.182969105,0.00140381821345086,3725666.42003032,0.0192591620027515,2753500.62181073,0.0150750592483669,727734.182976776,0.00140381821350461
11,0.94454054054054,456,49.8910499166667,3703179.94752513,0.0193331942697222,2758208.77875787,0.0151242425857056,725869.651852395,0.00141424270869504,3703179.94749597,0.019333194269445,2758208.77874911,0.0151242425857012,725869.651853114,0.00141424270874457
12,0.94381081081081,462,50.8648686666667,3708794.19597767,0.0193510668787262,2763055.3328829,0.01513528777044,725888.255160219,0.00141577294774015,3708794.19573976,0.019351066877511,2763055.33275244,0.0151352877698461,725888.255160063,0.00141577294775501
13,0.942837837837837,470,54.9831057083333,3717663.72860629,0.0193645988172085,2769354.75269547,0.0151494815250906,726412.587182857,0.00141751731074006,3717663.72897959,0.0193645988189623,2769354.7524709,0.0151494815243178,726412.587178164,0.00141751731071324
14,0.942594594594594,472,53.69604525,3729663.35792535,0.0193988365877137,2785274.80637986,0.0151758052661102,727544.020240146,0.00142145789700888,3729663.35794007,0.0193988365879105,2785274.8066149,0.0151758052674511,727544.02025093,0.00142145789704128
15,0.940405405405405,490,50.7054905416667,3731116.39935,0.0194016603792372,2785748.46470455,0.0151811111639796,728122.291498163,0.0014225131039794,3731116.39923467,0.0194016603787531,2785748.46476244,0.015181111164234,728122.291508896,0.00142251310402944
16,0.939189189189189,500,52.7053795833333,3723230.66693212,0.01949403845079,2803629.08645783,0.015250120102397,727402.822239957,0.00143313745483974,3723230.66675876,0.0194940384498442,2803629.08647433,0.015250120102833,727402.822245243,0.00143313745485314
17,0.938945945945946,502,50.578074375,3741064.67199303,0.0195222764731144,2809478.94329661,0.0152731942954709,733234.047156443,0.00144024116378664,3741064.67195657,0.0195222764729005,2809478.94337743,0.0152731942961165,733234.047164152,0.00144024116382047
18,0.937729729729729,512,51.2273802916667,3741568.798907,0.0195252288244613,2809584.21966446,0.015276437824219,733433.084732388,0.00144099892158014,3741568.79888755,0.0195252288243278,2809584.21959582,0.0152764378240919,733433.084733729,0.00144099892158358
19,0.93554054054054,530,50.3100914166667,3749466.68997096,0.0195676913587398,2817530.4096061,0.0153096911127426,737800.991928451,0.00145078506113554,3749466.69003322,0.0195676913589893,2817530.40991358,0.0153096911145236,737800.991933509,0.0014507850611552
20,0.93481081081081,536,54.6610592916667,3734416.65138327,0.0196465731713078,2813255.60938809,0.0153685064987426,738897.218307976,0.00146460276127591,3734416.65131773,0.0196465731711744,2813255.60934286,0.0153685064987906,738897.218304517,0.00146460276126965
21,0.934567567567567,538,54.5275862916667,3736239.66424943,0.0196568172864993,2814426.61269493,0.0153812424194085,739592.419595131,0.00146663026202134,3736239.66414906,0.0196568172859878,2814426.61290318,0.015381242420575,739592.4195962,0.00146663026200118
22,0.932621621621621,554,53.98693875,3736134.34879725,0.0196672040017829,2815370.35861202,0.0153896021452589,739602.712435679,0.00146751211772507,3736134.34911413,0.0196672040032554,2815370.35886447,0.0153896021462928,739602.712431526,0.00146751211767194
23,0.931891891891891,560,55.4540733333333,3755197.16247106,0.0197705846302642,2827254.4066072,0.0154581478239741,747384.343914511,0.00147889155891705,3755197.16254689,0.0197705846304432,2827254.40675468,0.015458147824825,747384.343918153,0.00147889155889054
24,0.931648648648648,562,59.2755419583333,3752495.94206763,0.0198020003526628,2831836.35198673,0.0154789783735111,746982.480534698,0.0014807920951076,3752495.94178952,0.0198020003514253,2831836.35195724,0.0154789783733901,746982.480540511,0.00148079209511765
