locationIndex,elemStart,elemEnd,meanDensity,stdDensity,rhoGt05,rhoGt07
1,1,8140,0.788378378378377,0.405884137697417,0.786240786240786,0.786240786240786
2,8141,16280,0.788378378378376,0.405884137697419,0.786240786240786,0.786240786240786
3,16281,24420,0.788378378378377,0.405884137697417,0.786240786240786,0.786240786240786
4,24421,32560,0.788378378378376,0.405884137697419,0.786240786240786,0.786240786240786
5,32561,40700,0.788378378378377,0.405884137697417,0.786240786240786,0.786240786240786
6,40701,48840,0.788378378378376,0.405884137697419,0.786240786240786,0.786240786240786
7,48841,56980,0.788378378378377,0.405884137697417,0.786240786240786,0.786240786240786
8,56981,65120,0.788378378378376,0.405884137697419,0.786240786240786,0.786240786240786
9,65121,73260,0.788378378378377,0.405884137697417,0.786240786240786,0.786240786240786
10,73261,81400,0.788378378378376,0.405884137697419,0.786240786240786,0.786240786240786
11,81401,89540,0.788378378378377,0.405884137697417,0.786240786240786,0.786240786240786
12,89541,97680,0.788378378378376,0.405884137697419,0.786240786240786,0.786240786240786
