ci,stressRatio,dispRatio,violated,maxHM_MPa,tipUz_m,beta1,beta2,beta3,beta4,beta5,beta6,beta7
1,1.50983770521713,0,1,4.58888308187272,-0.0566103679434729,0,270,0,180,180,270,180
2,1.50972168817237,0,1,4.58853046870638,-0.0583741579649696,0,270,0,180,180,180,180
3,1.50942417292496,0,1,4.58762622404438,-0.0580024749281056,0,270,0,180,180,0,180
4,1.49045458199378,0,1,4.52997152738835,-0.0596508852780654,0,270,0,90,90,90,180
5,1.47501154931348,0,1,4.48303517710739,-0.0489232896415258,0,0,270,90,180,0,90
6,1.46116844696124,0,1,4.44096153040662,-0.0397028988187295,0,0,90,0,180,270,0
7,1.44382172453057,0,1,4.38823925382484,-0.0608762694273489,0,90,0,90,180,90,180
8,1.40196531185406,0,1,4.26102413438823,-0.0589390887020713,0,0,0,90,180,180,270
9,1.39561761167117,0,1,4.2417314290349,-0.0415088706608653,0,0,90,270,180,0,0
10,1.39320478841225,0,1,4.23439808201746,-0.0697951317096466,0,0,0,180,180,180,270
11,1.39320430434562,0,1,4.23439661078306,-0.0700437925128747,0,0,0,180,180,180,90
12,1.38829182522568,0,1,4.2194660045029,-0.0736542411785456,0,0,0,180,180,180,180
13,1.34886798845303,0,1,4.09964426673373,-0.0409451843098813,0,0,0,270,0,90,90
14,1.11136853112343,0,1,3.3778069209529,-0.0334956998229025,0,270,180,180,90,180,180
15,1.11018792683086,0,1,3.37421868425313,-0.0353547905020668,0,270,90,270,90,270,180
16,1.08790542266666,0,1,3.30649497724307,-0.0314988963719103,0,0,0,90,270,270,90
17,1.02934264727883,0,1,3.12850384066187,-0.025673808246883,0,90,270,90,270,90,270
18,1.0249962355408,0,1,3.11529369547701,-0.0254423877358318,0,90,270,0,0,90,180
19,1.23662999648706,0,1,3.7585168590022,-0.038928165643663,0,90,0,180,180,270,180
20,1.09198261021015,0,1,3.3188868633877,-0.0366491053101452,0,90,0,180,180,90,180
21,1.08341408349376,0,1,3.29284435090471,-0.0369366860925919,0,0,90,180,90,180,0
22,1.01931051998826,0,1,3.09801297463052,-0.0375432696035238,0,0,90,270,270,180,0
23,1.00704651101815,0,1,3.06073870131993,-0.0503566046381929,0,0,0,180,180,180,180
24,1.00117698914205,0,1,3.04289933385492,-0.0478947872685405,0,0,0,180,180,180,90
25,1.00091182639326,0,1,3.04209341885645,-0.0390017222660257,0,0,270,90,180,180,270
26,0.988518883405944,0,0,3.00442727353991,-0.0429382483413587,0,270,0,90,180,270,180
27,0.984748557881623,0,0,2.9929680399071,-0.0477465675074391,0,0,0,180,180,180,270
28,0.959406569295867,0,0,2.91594557432663,-0.0279094448672446,0,90,270,270,180,0,0
29,0.922520960987772,0,0,2.80383833038595,-0.0375219696945009,0,270,0,180,180,180,180
30,0.873829812472461,0,0,2.65585024737095,-0.0243760964103013,0,180,90,270,270,180,270
31,0.840153035685502,0,0,2.55349567593874,-0.0291229178920128,0,270,0,180,180,0,0
32,0.786620007901839,0,0,2.39079156233168,-0.0322235937552809,0,270,0,270,270,270,270
33,0.744339373575244,0,0,2.26228709666512,-0.0167014534944078,0,180,270,270,180,270,270
34,0.736353924229186,0,0,2.23801674411089,-0.0209812307305645,0,90,270,0,90,270,270
35,0.715377306397422,0,0,2.1742620462712,-0.0219822071121007,0,0,0,180,0,90,270
36,0.714333669439987,0,0,2.171090097418,-0.0168954166509568,0,270,90,270,90,270,90
37,0.666202255181911,0,0,2.0248032270926,-0.0171129238939995,0,270,180,270,180,180,0
38,0.999788976562346,0,0,3.03868071656749,-0.0442088019290057,0,0,0,180,180,180,180
39,0.984512655398523,0,0,2.99225105628036,-0.0419308370395597,0,0,0,180,180,180,270
40,0.982628876388242,0,0,2.98652564513161,-0.0420758106482597,0,0,0,180,180,180,90
41,0.958718822226673,0,0,2.91385528947049,-0.0330172013543866,0,0,90,270,270,180,270
42,0.930768078899571,0,0,2.82890397799092,-0.0327098994753377,0,0,270,90,180,270,90
43,0.901200111507909,0,0,2.73903740169592,-0.0305065193806544,0,90,0,180,90,180,270
44,0.900664962245851,0,0,2.7374109107251,-0.0353074699803364,0,90,0,90,180,270,180
45,0.892178097948233,0,0,2.71161659663498,-0.0331826472926469,0,270,0,180,180,0,180
46,0.875160837166695,0,0,2.65989566011949,-0.0324617934596847,0,270,0,180,180,270,180
47,0.863893532973854,0,0,2.62565069365046,-0.0278978767075136,0,270,90,180,90,180,180
48,0.830971412227323,0,0,2.52558976498833,-0.0276796309583127,0,180,0,270,180,180,180
49,0.824372468720434,0,0,2.50553345025175,-0.0276040050349824,0,0,0,180,180,0,0
50,0.656862178947759,0,0,1.99641572712078,-0.0198381685878514,0,270,90,0,270,90,180
51,0.626656761351227,0,0,1.90461173434018,-0.0147589227980724,0,90,270,90,270,90,270
52,0.621140800378731,0,0,1.88784695233779,-0.0151079581933962,0,270,180,270,180,180,0
53,0.578229017971467,0,0,1.75742422437089,-0.0153976651942511,0,90,0,0,270,90,90
54,0.390166369315966,0,0,1.1858412629934,-0.0107086148425921,0,270,180,90,90,0,270
