ci,stressRatio,dispRatio,violated,maxHM_MPa,tipUz_m,beta1,beta2,beta3,beta4,beta5,beta6,beta7
1,0.813739707538832,0,0,10.1896364694517,-0.0536658862438777,0,270,0,90,180,270,90
2,0.804495894355065,0,0,10.0738855787658,-0.0588902774074806,0,90,0,270,180,0,180
3,0.791411824563787,0,0,9.91004705217193,-0.0536248458317559,0,270,0,90,90,180,90
4,0.749844016271503,0,0,9.38953557730327,-0.0480113370051641,0,270,0,180,180,90,180
5,0.735888657422711,0,0,9.21478678213876,-0.0452192878127817,0,90,0,180,180,180,180
6,0.703464485338012,0,0,8.80877178335579,-0.046164028233737,0,90,0,180,180,0,180
7,0.688090897263307,0,0,8.61626394299719,-0.0446086071118242,0,270,0,180,180,270,180
8,0.688090896815938,0,0,8.61626393739524,-0.044604181605606,0,90,0,180,180,90,180
9,0.679832118188626,0,0,8.51284763471965,-0.0632105298992193,0,0,0,180,180,180,180
10,0.675865265169643,0,0,8.46317476043724,-0.0601257794499758,0,0,0,180,180,180,270
11,0.675865264927819,0,0,8.46317475740911,-0.0602054589227365,0,0,0,180,180,180,90
12,0.664020464417866,0,0,8.31485434225494,-0.0599157890118188,0,0,0,180,180,90,180
13,0.657459763847112,0,0,8.2327013476529,-0.0567353691561476,0,0,0,180,180,180,0
14,0.650450594533521,0,0,8.14493263414825,-0.0519790472264214,0,0,0,180,90,90,270
15,0.591837187819697,0,0,7.41097643031942,-0.053931178113675,0,270,0,270,180,180,180
16,0.442760407857673,0,0,5.5442392172076,-0.02184416156484,0,180,180,90,0,180,180
17,0.397593023769336,0,0,4.97865390795896,-0.0383434981506775,0,0,90,180,180,180,0
18,0.395914473332358,0,0,4.95763512444626,-0.0378568055208043,0,0,270,180,180,90,270
19,0.342070550275742,0,0,4.2834023237692,-0.0521309204683452,0,270,90,270,180,180,180
20,0.342070547381365,0,0,4.28340228752585,-0.0521276694748013,0,90,270,90,180,180,180
21,0.339275322866884,0,0,4.24840052788554,-0.0325613793081378,0,0,90,90,90,90,180
22,0.333671459620993,0,0,4.17822903598077,-0.0384607285620968,0,0,90,180,0,90,270
23,0.329358958365357,0,0,4.12422795963917,-0.033002404625041,0,90,90,180,90,270,180
24,0.322496015594281,0,0,4.03829029271688,-0.0331857335925134,0,0,270,90,0,90,180
25,0.319419981116682,0,0,3.99977223491062,-0.0297127625192726,0,270,270,180,270,180,180
26,0.305454546660428,0,0,3.82489727313988,-0.0141432306950521,0,270,180,0,180,90,0
27,0.28851932025271,0,0,3.61283462088905,-0.0308907942267383,0,270,270,90,90,90,270
28,0.28758450889834,0,0,3.60112892706546,-0.0257463013538564,0,0,90,270,0,90,180
29,0.274905670549272,0,0,3.44236470254126,-0.0313901613830215,0,180,270,90,90,180,90
30,0.22931697424063,0,0,2.87150372795975,-0.023436220965068,0,270,90,90,270,0,0
31,0.21993014515203,0,0,2.75396199424861,-0.0183716033700088,0,180,270,180,270,90,180
32,0.168669419735103,0,0,2.11207595585108,-0.0192168269083788,0,90,180,180,270,90,90
