phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,1,1,0.2,0,2504397.01419275,0.0100887983105594
6.91830973189312e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,2,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,17.8630182475995,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,3,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.892301736055511,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,4,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.807461443657764,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,5,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45.249991667,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,6,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.807461443657764,45,0.35,0.35,4e-09,32,0.75,3,0.04,7,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45.249991667,0.35,0.35,4e-09,32,0.75,3,0.04,8,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.346067546647595,0.35,4e-09,32,0.75,3,0.04,9,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.346067546647595,4e-09,32,0.75,3,0.04,10,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,2.76732389275725e-09,32,0.75,3,0.04,11,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,31.718814255274,0.75,3,0.04,12,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75749975001,3,0.04,13,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,2.95023949232776,0.04,14,1,0.2,0,2504397.01419275,0.0100887983105594
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.0388365288577386,15,1,0.2,0,2504397.01419275,0.0100887983105594
