variant,configName,configLabel,volumeFraction,maxHM,stressAggregate,tipUz,maxDisp
full_pipe,min_bending,Min M_b,1,1134854.09861837,615614.237758049,-0.013022579253537,0.0131296392767375
full_pipe,min_torsion,Min M_s,1,970247.560877413,467930.723613853,-0.00759530313001225,0.00821247806901635
full_pipe,min_shear,Min T,1,1079140.68478722,568886.382347079,-0.0104779621622536,0.0121632992991841
full_pipe,max_bending,Max M_b,1,1134854.09852769,615614.237714699,-0.0130225792526515,0.0131296392758372
full_pipe,max_torsion,Max M_s,1,970247.560850983,467930.723601683,-0.00757822479835179,0.00821247806878551
full_pipe,max_shear,Max T,1,1079140.68484005,568886.382376483,-0.0104575396003609,0.0121632992997936
full_pipe,max_tension,Max N,1,1066532.87198386,533284.689576622,-0.00830513120959947,0.0103473627798318
threshold_05,min_bending,Min M_b,0.392500000000023,18963314.3403337,8074376.46207984,-0.341112578014089,0.344056732339631
threshold_05,min_torsion,Min M_s,0.392500000000023,16322803.9684259,6256319.99106267,-0.140438301243954,0.155169993047528
threshold_05,min_shear,Min T,0.392500000000023,18290326.2163876,7400602.97554896,-0.248027220913472,0.291578842357188
threshold_05,max_bending,Max M_b,0.392500000000023,18963314.3083551,8074376.44908633,-0.341112577479419,0.344056731800842
threshold_05,max_torsion,Max M_s,0.392500000000023,16322803.9649017,6256319.98991555,-0.140101110956373,0.155169993024346
threshold_05,max_shear,Max T,0.392500000000023,18290326.224345,7400602.97805049,-0.247525734574914,0.291578842437926
threshold_05,max_tension,Max N,0.392500000000023,18129233.4517343,7347976.76413282,-0.206038915182181,0.260604683259343
threshold_volume,min_bending,Min M_b,0.406000000000026,16151539.3199745,7074011.78966553,-0.284991133488364,0.287428059980431
threshold_volume,min_torsion,Min M_s,0.406000000000026,15811091.4701195,6001745.45722592,-0.127188594255998,0.140063405676872
threshold_volume,min_shear,Min T,0.406000000000026,15447849.3893744,6470051.67094091,-0.209491363609618,0.246213199925839
threshold_volume,max_bending,Max M_b,0.406000000000026,16151539.322601,7074011.79053534,-0.284991133509077,0.28742806000134
threshold_volume,max_torsion,Max M_s,0.406000000000026,15811091.4711446,6001745.45761993,-0.12688657487898,0.140063405689843
threshold_volume,max_shear,Max T,0.406000000000026,15447849.3957106,6470051.67350675,-0.209075881896431,0.246213200015014
threshold_volume,max_tension,Max N,0.406000000000026,16245526.8431556,6497539.54442758,-0.175088649905117,0.221285999077577
