phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,1,0.85,3.24543731401473,1.99667700708321,3683097.83761861,0.0260018845684562
3.98107173148728e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,2,0.85,3.24543743069339,1.99667701132363,3683097.97003186,0.0260018846236774
2.51188639227677e-08,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,3,0.849999999999999,3.24543702044664,1.99667699629548,3683097.50446166,0.0260018844279721
9.99999999999999e-09,17.6595129974853,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,4,0.85,2.75346912076405,1.94972951395495,3124785.7171182,0.0253905071184386
9.99999999999999e-09,18.3469301964791,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,5,0.849999999999999,3.07514945691414,2.04609346246371,3489845.96504307,0.0266454142750776
9.99999999999999e-09,18,0.880873509758384,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,6,0.85,3.24350761220423,1.99872486849994,3680907.90760986,0.0260285530060558
9.99999999999999e-09,18,0.919518076571419,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,7,0.849999999999999,3.24151967913967,1.99433633521911,3678651.89362376,0.0259714029835995
9.99999999999999e-09,18,0.9,0.781306071191557,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,8,0.85,3.24549495653337,1.99696245108026,3683163.25346715,0.0260056017855302
9.99999999999999e-09,18,0.9,0.818631732330272,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,9,0.849999999999999,3.24491181856702,1.99639609413502,3682501.47695597,0.0259982263573251
9.99999999999999e-09,18,0.9,0.8,44.3751301757895,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,10,0.85,3.09524523929901,1.98343788791122,3512651.74604749,0.0258294770897919
9.99999999999999e-09,18,0.9,0.8,45.6248698242105,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,11,0.85,3.25022927862959,2.00792384476241,3688536.01830222,0.0261483474034853
9.99999999999999e-09,18,0.9,0.8,45,0.781306071191557,45,0.35,0.35,4e-09,32,0.75,3,0.04,12,0.85,3.25419959598852,1.99696175876135,3693041.74922982,0.0260055927697524
9.99999999999999e-09,18,0.9,0.8,45,0.818631732330272,45,0.35,0.35,4e-09,32,0.75,3,0.04,13,0.85,3.23607895876552,1.99639676978986,3672477.46980772,0.0259982351560938
9.99999999999999e-09,18,0.9,0.8,45,0.8,44.3751301757895,0.35,0.35,4e-09,32,0.75,3,0.04,14,0.85,2.78213172953255,1.98341712739026,3157313.59615623,0.0258292067342624
9.99999999999999e-09,18,0.9,0.8,45,0.8,45.6248698242105,0.35,0.35,4e-09,32,0.75,3,0.04,15,0.85,2.93898721697931,2.0079274491904,3335321.68897597,0.0261483943424345
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.340188953403495,0.35,4e-09,32,0.75,3,0.04,16,0.85,3.24098348338407,1.9965183558731,3678043.38967286,0.0259998185204989
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.359872545008636,0.35,4e-09,32,0.75,3,0.04,17,0.85,3.25020684366949,1.99683911670424,3688510.5578958,0.0260039956538438
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.340188953403495,4e-09,32,0.75,3,0.04,18,0.850000000000001,3.24195742357858,1.99674746169347,3679148.6696944,0.0260028020692021
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.359872545008636,4e-09,32,0.75,3,0.04,19,0.85,3.24918935873129,1.99660878950325,3687355.8609434,0.0260009961996147
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,1.59242869259491e-09,32,0.75,3,0.04,20,0.85,3.24543731401473,1.99667700708321,3683097.83761861,0.0260018845684562
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,1.00475455691071e-08,32,0.75,3,0.04,21,0.85,3.24543731401473,1.99667700708321,3683097.83761861,0.0260018845684562
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,31.3014540852229,0.75,3,0.04,22,0.85,3.24543731401473,1.99667700708321,3683097.83761861,0.0260018845684562
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32.7130742724422,0.75,3,0.04,23,0.85,3.24543731401473,1.99667700708321,3683097.83761861,0.0260018845684562
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.731253905273684,3,0.04,24,0.85,3.24281986675465,1.99616073779784,3680127.41686759,0.0259951614107713
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.768746094726315,3,0.04,25,0.85,3.24788130022783,1.99720305860264,3685871.40538952,0.0260087351160595
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,2.87696034665823,0.04,26,0.85,3.19619669651255,1.99196839872736,3627216.92102776,0.0259405663429683
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3.1275742532216,0.04,27,0.849999999999999,3.29700886507141,2.00175849682869,3741624.02370739,0.0260680586713927
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.0371668816412851,28,0.85,3.30021964731795,1.99729837340932,3745267.79309965,0.0260099763606835
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.0430926040435734,29,0.849999999999999,3.18918372683661,1.99555948350771,3619258.22364754,0.0259873315291266
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,30,0.8,3.48650900791644,2.41357135115256,3956679.03750384,0.0314309242044507
9.99999999999999e-09,18,0.9,0.8,45,0.8,45,0.35,0.35,4e-09,32,0.75,3,0.04,31,0.9,1.93056402296734,1.61018816624146,2190908.49410966,0.0209688030079869
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,32,0.802304381213439,2.87011117453875,2.18143483386224,3257157.42991569,0.0284079080103975
3.9810717884657e-09,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,33,0.802304381213438,2.87011106336812,2.18143483025918,3257157.30375324,0.0284079079634763
2.51188642480381e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,34,0.802304381213439,2.87011145354965,2.18143484330183,3257157.74655235,0.0284079081333252
1.00000001363079e-08,16.3856084458759,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,35,0.802304381213438,2.76750208531209,2.15686609765427,3140711.08445131,0.0280879596959699
1.00000001363079e-08,17.0189672446621,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,36,0.802304381213439,2.6421298784794,2.20241350387058,2998431.9216744,0.0286811044032149
1.00000001363079e-08,16.6986758181234,0.881334192140658,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,37,0.802304381213439,2.87019882967691,2.18390999685605,3257256.90570849,0.0284401410166497
1.00000001363079e-08,16.6986758181234,0.919997803427549,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,38,0.802304381213438,2.86626639042682,2.17921954165139,3252794.16090795,0.0283790591920119
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.78143967644638,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,39,0.802304381213439,2.86043488864596,2.18136721707005,3246176.25721085,0.0284070274653622
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.818764448850614,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,40,0.802304381213438,2.87872965390533,2.18154911576659,3266938.14654871,0.0284093962555541
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.1924494825683,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,41,0.802304381213438,2.76473648029548,2.18904490587102,3137572.52626305,0.0285070107762569
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,44.4393838597426,0.804138917844072,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,42,0.802304381213438,2.74891794005619,2.17160901771067,3119620.79103834,0.0282799505408329
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.785456796209818,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,43,0.802304381213439,2.87609268263141,2.18136255792491,3263945.56889056,0.0284069667912754
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.822753746279969,43.8008931040783,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,44,0.802304381213438,2.86371551875691,2.18155669536436,3249899.29373831,0.0284094949614667
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.1782073490031,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,45,0.802304381213439,2.75159999644735,2.18921057408067,3122664.53372657,0.0285091682036468
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,44.4250736737551,0.348889018218842,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,46,0.802304381213438,2.92476167485461,2.1712335427537,3319177.77419068,0.028275060888448
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.339085647525115,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,47,0.802304381213438,2.87289569643134,2.18224284842887,3260317.45599819,0.0284184304441294
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.358755208987947,0.349128824198015,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,48,0.802304381213439,2.86730941997039,2.18060507385768,3253977.84726046,0.0283971023949766
1.00000001363079e-08,16.6986758181234,0.90047035383001,0.800133243017616,43.8151781274505,0.804138917844072,43.8008931040783,0.348889018218842,0.339323783733712,4e-09,32,0.748838321374525,2.9070397078124,0.0408466091190649,49,0.802304381213439,2.86981888473156,2.18136169409193,3256825.72363002,0.028406955541942
